horse_name,horse_id
HINOKAMI KAGURA,H384
ALL EYES ON ME,J453
GOLDEN LONG,H462
FAMILY FORTUNE,H447
YOUNG BRILLIANT,H135
GOOD LUCK BABE,K016
SPICY SO SMART,G203
COUNTRY DANCER,H436
JOYFUL FRIENDSHIP,H295
SUNNY SHINES,H484
STURDY RUBY,H207
LAKESHORE HERO,J288
SPEED SWORD,H397
TELECOM DRAGON,H322
GOLDEN DARCI,H470
THE PERFECT MATCH,J253
HOSS,H055
RACINGRACE,J102
RUBY SAILING,H347
GRAND NOVA,J323
KOKUSHI MUSOU,G006
COLOURFUL PRINCE,E418
YOUNG EMPEROR,K011
ROMANTIC SON,J537
RISING FROM ASHES,G209
BRIGHT DAY,J530
LUCKY COMBINATION,J512
HORSEPOWER,J431
VICTORY SKY,J540
BUNTA BABY,J465
HAPPY UNITED,H208
RAGING BLIZZARD,H368
TOMODACHI KOKOROE,H303
SIX PACK,K061
ESCAPE ROUTE,E273
HAILTOTHEVICTORS,J508
FATAL BLOW,J484
CRYSTAL POWERFUL,H068
CIRCUIT DUFFY,J501
MASTER TORNADO,G410
TRIUMPHANT MORE,J489
PARTY WARRIOR,E368
DARING PURSUIT,G424
NEARLY FINE,E430
PACKING ANGEL,J454
OFFROAD MASTER,J283
WINNING LION,K023
ANOTHER WORLD,K005
LIFELINE EXPRESS,H439
FLYING DOUBLE,J388
GALLANT EPOCH,J451
NOT USUAL DRAGON,J438
WINDICATOR FAMILY,H419
NIMBLE NIMBUS,E249
MASSIVE SOVEREIGN,J208
FIVE G PATCH,G286
SENOR TOBA,G103
ALSONSO,J405
THE STORM,J126
PACKING TURBINE,J470
THUNDER PRINCE,K017
PRESTIGE RICKY,K009
GOLDEN ARTIE,G434
NOISY BOY,J536
DILBAGH,K055
STEPS AHEAD,J263
NAMJONG KINGDOM,K015
DEFINITIVE,K037
ACE WAR,J509
SPEEDSTAR,G181
MULTIDARLING,H148
DEVILDOM,H445
BEAUTY LIGHT,J474
PANDA LEGEND,H002
SPICY KNUCKLES,H463
QUANTUM PATCH,H166
SUPERB MOVE,G304
PATCH OF STARS,J343
BEAR CHAMP,J313
DRAGON SUNRISE,J269
SONIC PURSUIT,K051
SOMELOVEFROMABOVE,J503
LUCKY BLESSING,K073
REWARDING BUDDY,J373
MASTER PHOENIX,J516
CITY THUNDER,J173
GOLDENTRONICMIGHTY,K002
HE WAS YOU,J547
EURO ROCKS,H153
MANAGEMENT FOLKS,E496
HARMONY GREAT,K078
SKY DEEP,K041
MASTER STROKE,J036
AERIS NOVA,J534
FLYING FORTRESS,J445
BLESSED NATION,J292
SOLID IMPACT,E447
HE WAS ME,J535
CELESTIAL HARMONY,K059
CHARMING BABE,J513
HAPPY AGAIN,J117
THUNDERBOLTAURUS B,J281
NOTTHESILLYONE,J383
STREET CONQUEROR,H341
